fold,epoch,f1,precision,recall,loss
0,1,0.6544163346290588,0.7342597246170044,0.6521256923675537,0.7873136401176453
0,2,0.7341158270835877,0.7371597528457642,0.7325068473815918,0.7223410844802857
0,3,0.7342265605926513,0.754942786693573,0.7240921139717102,0.6857091903686523
0,4,0.735996425151825,0.7731056451797486,0.718223512172699,0.6490671277046204
0,5,0.7430058121681213,0.789880633354187,0.7220981478691101,0.6172282457351684
0,6,0.7509031176567078,0.8020785689353943,0.7281880259513855,0.5871796369552612
0,7,0.7606450080871582,0.8132338881492615,0.7375996232032775,0.5614248394966126
0,8,0.7718248724937439,0.8204562425613403,0.7507749080657959,0.5386678457260132
0,9,0.7811967611312867,0.8255796313285828,0.7619577050209045,0.5192268371582032
0,10,0.7928564667701721,0.8340619087219239,0.7740255236625672,0.5005872666835784
