fold,epoch,f1,precision,recall,loss
3,1,0.6519010066986084,0.7339162826538086,0.6506090760231018,0.7890272736549377
3,2,0.7344038486480713,0.7396416664123535,0.7314507365226746,0.7195255160331726
3,3,0.730897068977356,0.7586005926132202,0.7203765511512756,0.6849082112312317
3,4,0.7338500618934631,0.7739807963371277,0.7148393988609314,0.6513610482215881
3,5,0.7427093982696533,0.7913625240325928,0.7203765511512756,0.6186345815658569
3,6,0.7484312653541565,0.7956337332725525,0.7264673113822937,0.5897740721702576
3,7,0.7617204189300537,0.8111380338668823,0.7419711947441101,0.5615944266319275
3,8,0.774824857711792,0.8208684921264648,0.7535991072654724,0.536846935749054
3,9,0.7829462289810181,0.8285371661186218,0.7652270197868347,0.5153909921646118
3,10,0.7906981706619263,0.832335352897644,0.7696567177772522,0.49590790271759033
