fold,epoch,f1,precision,recall,loss
1,1,0.6637135148048401,0.7366790771484375,0.65836101770401,
1,2,0.7329272627830505,0.7397644519805908,0.7303432822227478,
1,3,0.7316354513168335,0.7537572383880615,0.722037672996521,
1,4,0.7307125329971313,0.7770392894744873,0.712070882320404,
1,5,0.7436324954032898,0.7903030514717102,0.722037672996521,
1,6,0.7587674856185913,0.8001200556755066,0.738095223903656,
1,7,0.7681804299354553,0.8132930397987366,0.7452934384346008,
1,8,0.7746403813362122,0.820652186870575,0.7524917125701904,
1,9,0.7851608395576477,0.825698971748352,0.7685492634773254,
1,10,0.7942047119140625,0.8379186391830444,0.775747537612915,
1,11,0.7980807423591614,0.8426092267036438,0.7796234488487244,
1,12,0.8076785206794739,0.8455621004104614,0.7912513613700867,
1,13,0.8130310773849487,0.8497041463851929,0.7951273322105408,
1,14,0.8167224526405334,0.8500000238418579,0.8001107573509216,
1,15,0.8226286768913269,0.8575632572174072,0.8067552447319031,
1,16,0.8253973722457886,0.8581477403640747,0.8106312155723572,
1,17,0.8324105739593506,0.8667058348655701,0.8172757625579834,
1,18,0.8342564702033997,0.865070104598999,0.8200442790985107,
1,19,0.8396092057228088,0.8678696155548096,0.8255813717842102,
1,20,0.8453304171562195,0.8739105463027954,0.8327796459197998,
1,21,0.8477301001548767,0.8737695217132568,0.8355481624603271,
1,22,0.8468072414398193,0.8751451969146729,0.8344407677650452,
1,23,0.8547435998916626,0.8783160448074341,0.8433001041412354,
1,24,0.856773853302002,0.8787356615066528,0.8466223478317261,
1,25,0.8628646731376648,0.8892753720283508,0.8493909239768982,
1,26,0.8624956607818604,0.8834672570228577,0.8521594405174255,
1,27,0.8706167340278625,0.8906697034835815,0.8615725636482239,
1,28,0.8746772408485413,0.8955823183059692,0.8643410801887512,
1,29,0.8757845759391785,0.8943460583686829,0.8671096563339233,
1,30,0.878368616104126,0.8985673189163208,0.8682170510292053,
1,31,0.8809525370597839,0.9014891386032104,0.871539294719696,
1,32,0.8785533308982849,0.9019042253494263,0.865448534488678,
1,33,0.8855671882629395,0.9077363610267639,0.8770763874053955,
1,34,0.8785532712936401,0.9027057886123657,0.8682170510292053,
1,35,0.8881508111953735,0.9069103598594666,0.8792912364006042,
1,36,0.8898120522499084,0.908157467842102,0.881506085395813,
1,37,0.8894427418708801,0.9079999923706055,0.8798449635505676,
1,38,0.8927651047706604,0.9104903340339661,0.8842746615409851,
1,39,0.8953490853309631,0.912300705909729,0.8870431780815125,
1,40,0.8971946835517883,0.9155732989311218,0.8887042999267578,
1,41,0.8986712694168091,0.914253294467926,0.8914728760719299,
1,42,0.8942418098449707,0.9082672595977783,0.8881506323814392,
1,43,0.9029164910316467,0.916242241859436,0.896456241607666,
1,44,0.9018091559410095,0.9170925617218018,0.8942413926124573,
1,45,0.8995941877365112,0.9162870049476624,0.8909191489219666,
1,46,0.9025471806526184,0.918181836605072,0.8947951197624207,
1,47,0.9055003523826599,0.9210675954818726,0.8981173634529114,
1,48,0.9051310420036316,0.9175606966018677,0.8997785449028015,
1,49,0.9018089771270752,0.9180887341499329,0.8936877250671387,
1,50,0.9108529090881348,0.9225988984107971,0.9042081832885742,
1,51,0.9051311016082764,0.9195011258125305,0.8981173634529114,
1,52,0.9101148247718811,0.9260943531990051,0.9019933342933655,
1,53,0.9071616530418396,0.922771155834198,0.8997785449028015,
1,54,0.9180511832237244,0.9314835667610168,0.9108527302742004,
1,55,0.9119601845741272,0.9238148927688599,0.906423032283783,
1,56,0.9128831028938293,0.9239436388015747,0.9080841541290283,
1,57,0.9167590141296387,0.9278466701507568,0.911406397819519,
1,58,0.911221981048584,0.9248162508010864,0.9058693051338196,
1,59,0.9167593121528625,0.9299039244651794,0.9108527302742004,
1,60,0.919712245464325,0.9322798848152161,0.9147287011146545,
1,61,0.9193431735038757,0.9322034120559692,0.9136212468147278,
1,62,0.919712245464325,0.9301408529281616,0.9141749739646912,
1,63,0.91989666223526,0.9291737079620361,0.9152823686599731,
1,64,0.9182357788085938,0.9294582605361938,0.9119601249694824,
1,65,0.9195275902748108,0.9302194714546204,0.9152823686599731,
1,66,0.9230346083641052,0.9340845346450806,0.9180509448051453,
1,67,0.9215579032897949,0.9328821301460266,0.9158360958099365,
1,68,0.9256184101104736,0.9353205561637878,0.9208194613456726,
1,69,0.9250646829605103,0.9337450861930847,0.9208194613456726,
1,70,0.9232189655303955,0.9335959553718567,0.9186046719551086,
1,71,0.9315246939659119,0.9409449100494385,0.9263566136360168,
1,72,0.9259876608848572,0.9358829855918884,0.921373188495636,
1,73,0.9309709668159485,0.9398876428604126,0.9263566136360168,
1,74,0.9263567328453064,0.9354295134544373,0.9224806427955627,
1,75,0.9306018948554993,0.9393258690834045,0.9258028864860535,
1,76,0.9265410304069519,0.936972439289093,0.9219269156455994,
1,77,0.9285717010498047,0.9360986351966858,0.9246954321861267,
1,78,0.9333702325820923,0.9426966309547424,0.9291251301765442,
1,79,0.9296788573265076,0.9392576217651367,0.9246954321861267,
1,80,0.9296788573265076,0.9372197389602661,0.9258028864860535,
1,81,0.934477686882019,0.9422321915626526,0.930232584476471,
1,82,0.9335548281669617,0.940616250038147,0.9296788573265076,
1,83,0.93392413854599,0.9437254071235657,0.9285714030265808,
1,84,0.93576979637146,0.9444132447242737,0.9313399791717529,
1,85,0.9333704113960266,0.942167341709137,0.9291251301765442,
1,86,0.936138927936554,0.9423937201499939,0.9330011010169983,
1,87,0.9372463822364807,0.9445688724517822,0.934108555316925,
1,88,0.9379844665527344,0.9435754418373108,0.935215950012207,
